,Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
2550,2550,Lund_00508,Property,Building,Landmark,Estate,Mansion,House,Stately home,Tree,Architecture,Spring,Lundagérd,AD Andreas Rundcra, May 2017,"Property,Building,Landmark,Estate,Mansion,House,Stately home,Tree,Architecture,Spring"
2551,2551,Lund_02610,Natural landscape,Natural environment,Fen,Marsh,Wetland,Waterway,Tree,Grassland,Grass,Nature reserve,|G AT,|G AT, Feb 2017,"Natural landscape,Natural environment,Fen,Marsh,Wetland,Waterway,Tree,Grassland,Grass,Nature reserve"
2552,2552,Lund_01885,Property,House,Building,Home,Town,Architecture,Neighbourhood,Estate,Historic house,Real estate,Kulturen,ﬁ Frida Olsson, Jun 2016,"Property,House,Building,Home,Town,Architecture,Neighbourhood,Estate,Historic house,Real estate"
2553,2553,Lund_00334,Building,Architecture,Property,Landmark,Palace,Town,City,Human settlement,Sky,Facade,Lundagérd,@ Stefan Sgnderva, Oct 2017,"Building,Architecture,Property,Landmark,Palace,Town,City,Human settlement,Sky,Facade"
2554,2554,Lund_00524,Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,Presidential palace,?‘}m Goran Todorovié¢,?‘}m Goran Todorovié¢, Oct 2014,"Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,Presidential palace"
2555,2555,Lund_01663,Sky,Daytime,Public space,Tree,Grass,Park,Garden,Botany,Cloud,Road,Stadsparken,Catalina vasquez, Jun 2018,"Sky,Daytime,Public space,Tree,Grass,Park,Garden,Botany,Cloud,Road"
2556,2556,Lund_00899,Building,Medieval architecture,Property,Architecture,Church,Chapel,Brick,Brickwork,Parish,House,Klosterkyrkan ¢,& saad al saifi, Jun 2016,"Building,Medieval architecture,Property,Architecture,Church,Chapel,Brick,Brickwork,Parish,House"
2557,2557,Lund_02550,Natural landscape,Pasture,Land lot,Vegetation,Natural environment,Nature reserve,Grassland,Tree,Grass,Meadow,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016,"Natural landscape,Pasture,Land lot,Vegetation,Natural environment,Nature reserve,Grassland,Tree,Grass,Meadow"
2558,2558,Lund_01141,Building,Classical architecture,Landmark,Architecture,Facade,Palace,House,City,Château,Tourist attraction,[T T o1 T T T,A  Abdo Fadl, Jul 2017,"Building,Classical architecture,Landmark,Architecture,Facade,Palace,House,City,Château,Tourist attraction"
2559,2559,Lund_02883,Landmark,Architecture,Building,Estate,Sky,Mansion,Water,Reflecting pool,Classical architecture,Palace,. Sergio Garcia a,. Sergio Garcia a,Photo,"Landmark,Architecture,Building,Estate,Sky,Mansion,Water,Reflecting pool,Classical architecture,Palace"
2560,2560,Lund_01349,Natural landscape,Green,Tree,Grass,Garden,Public space,Waterway,Park,Botany,Walkway,Botanical Garden,} Pl, May 2018,"Natural landscape,Green,Tree,Grass,Garden,Public space,Waterway,Park,Botany,Walkway"
2561,2561,Lund_01445,Property,Building,Estate,House,Architecture,Tree,Stately home,Sky,Grass,Manor house,University Library,A  Alejandro Carrillc, Aug 2016,"Property,Building,Estate,House,Architecture,Tree,Stately home,Sky,Grass,Manor house"
2562,2562,Lund_02829,Garden,Estate,Flower,Landmark,Mansion,Palace,Spring,Plant,Stately home,Building,Lundagérd 9,L 1T T, Sep 2013,"Garden,Estate,Flower,Landmark,Mansion,Palace,Spring,Plant,Stately home,Building"
2563,2563,Lund_01361,Classical architecture,Landmark,Architecture,Building,Facade,Palace,City,House,Tourist attraction,Château,Lundagérd,a Centar Prevencij:, Oct 2016,"Classical architecture,Landmark,Architecture,Building,Facade,Palace,City,House,Tourist attraction,Château"
2564,2564,Lund_02017,Body of water,Waterway,Canal,Water,Water transportation,Sky,River,Bridge,Channel,Town,Coop Konsum,J  Janus sobrzezeje, Aug 2018,"Body of water,Waterway,Canal,Water,Water transportation,Sky,River,Bridge,Channel,Town"
2565,2565,Lund_00232,Lighting,Night,Building,Architecture,Tree,Metropolitan area,City,Light fixture,Metropolis,Restaurant,"‘é"" [N","‘é"" [N", Aug 2018,"Lighting,Night,Building,Architecture,Tree,Metropolitan area,City,Light fixture,Metropolis,Restaurant"
2566,2566,Lund_02171,Landmark,Architecture,Medieval architecture,Building,Historic site,Sky,Tower,Tree,Facade,History,Lundagérd,&;‘ Mirja Markkula, Sep 2017,"Landmark,Architecture,Medieval architecture,Building,Historic site,Sky,Tower,Tree,Facade,History"
2567,2567,Lund_01362,Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany,Lundagérd,% Mohammad A.M, May 2018,"Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany"
2568,2568,Lund_00291,Landmark,Architecture,Medieval architecture,Classical architecture,Building,Sky,Place of worship,Cathedral,Gothic architecture,Church,Lundagérd,f@ Maricela Christe, Jul 2017,"Landmark,Architecture,Medieval architecture,Classical architecture,Building,Sky,Place of worship,Cathedral,Gothic architecture,Church"
2569,2569,Lund_00277,Palace,Building,Estate,Landmark,Mansion,Château,Official residence,Architecture,Stately home,Presidential palace,Lundagérd,;&g peter kurnavka, Oct 2017,"Palace,Building,Estate,Landmark,Mansion,Château,Official residence,Architecture,Stately home,Presidential palace"
2570,2570,Lund_01452,Sport venue,Pond,Grass,Natural landscape,Water resources,Lawn,Land lot,Nature reserve,Water,Bank,Sankt Jorgen Park,Sankt Jorgen Park, Jun 2017,"Sport venue,Pond,Grass,Natural landscape,Water resources,Lawn,Land lot,Nature reserve,Water,Bank"
2571,2571,Lund_01529,Landmark,Garden,Tree,Botany,Sky,Architecture,Building,Tourism,Botanical garden,Estate,Lundagérd 9,@ T4, Jul 2017,"Landmark,Garden,Tree,Botany,Sky,Architecture,Building,Tourism,Botanical garden,Estate"
2572,2572,Lund_02031,Body of water,Natural landscape,Nature,Water resources,Pond,Bank,Reflection,Water,Lake,Natural environment,Ankdammen.,Ingegerd Karlsso, Oct 2016,"Body of water,Natural landscape,Nature,Water resources,Pond,Bank,Reflection,Water,Lake,Natural environment"
2573,2573,Lund_02484,Field,Farm,Land lot,Natural landscape,Crop,Agriculture,Grassland,Grass,Rural area,Grass family,Nobbel6vs mosse,L 1T T, Jul 2014,"Field,Farm,Land lot,Natural landscape,Crop,Agriculture,Grassland,Grass,Rural area,Grass family"
2574,2574,Lund_00270,Architecture,Building,Medieval architecture,Landmark,Classical architecture,Cathedral,Facade,Gothic architecture,Place of worship,Historic site,[T DT TN ET,6 Ask Gasi, Jun 2018,"Architecture,Building,Medieval architecture,Landmark,Classical architecture,Cathedral,Facade,Gothic architecture,Place of worship,Historic site"
2575,2575,Lund_01994,Park,Estate,Memorial,Garden,Grass,Tree,Photography,Monument,Building,Landscaping,Lundagérd 9,a 31 E,,"Park,Estate,Memorial,Garden,Grass,Tree,Photography,Monument,Building,Landscaping"
2576,2576,Lund_01166,Estate,Property,Mansion,Building,House,Palace,Stately home,Official residence,Manor house,Château,Lundagérd,",jfa Lucian Gevelegia", Aug 2008,"Estate,Property,Mansion,Building,House,Palace,Stately home,Official residence,Manor house,Château"
2577,2577,Lund_03032,Sport venue,Tennis court,Leisure centre,Tennis,Leisure,Racquet sport,Sports,Line,Net,Tennis Equipment,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018,"Sport venue,Tennis court,Leisure centre,Tennis,Leisure,Racquet sport,Sports,Line,Net,Tennis Equipment"
2578,2578,Lund_02557,Sky,Transport,Architecture,Urban area,City,Cloud,Vehicle,Building,Road,Car,Biltema 3,(o e R Y],,"Sky,Transport,Architecture,Urban area,City,Cloud,Vehicle,Building,Road,Car"
2579,2579,Lund_02547,,,,,,,,,,,Rabysjon och Raby s,§ Anastasia Kantol, Apr 2018,
2580,2580,Lund_00597,Estate,Mansion,Building,Property,Palace,Official residence,Landmark,Stately home,House,Manor house,Lundagérd,qls Amanda Brundin, Jul 2016,"Estate,Mansion,Building,Property,Palace,Official residence,Landmark,Stately home,House,Manor house"
2581,2581,Lund_02422,Nature,Reflection,Natural landscape,Property,Home,House,Water,Pond,Cottage,Building,Kulturen,e S YD R E,,"Nature,Reflection,Natural landscape,Property,Home,House,Water,Pond,Cottage,Building"
2582,2582,Lund_01170,Landmark,Building,Architecture,Sky,Historic site,Church,Facade,Medieval architecture,Tower,Place of worship,[T T o1 T T T,@ Jim Wu,,"Landmark,Building,Architecture,Sky,Historic site,Church,Facade,Medieval architecture,Tower,Place of worship"
2583,2583,Lund_02424,Building,Architecture,Facade,Commercial building,City,,,,,,Plantagen,‘3 Niclas Schedin, Mar 2017,
2584,2584,Lund_01895,Estate,Property,Building,Mansion,Stately home,Architecture,Manor house,Château,Grass,House,Lundagérd 9,Adrian Wach, Apr 2014,"Estate,Property,Building,Mansion,Stately home,Architecture,Manor house,Château,Grass,House"
2585,2585,Lund_02205,Sky,Grass,Natural landscape,Bench,Cloud,Park,Lawn,Walkway,Furniture,Leisure,Oliver Jannessor,Oliver Jannessor, Jul 2017,"Sky,Grass,Natural landscape,Bench,Cloud,Park,Lawn,Walkway,Furniture,Leisure"
2586,2586,Lund_01799,Palace,Building,Estate,Mansion,Official residence,Architecture,Château,Stately home,Manor house,College,Folkuniversitetets fo,LRI IYCET, Mar 2017,"Palace,Building,Estate,Mansion,Official residence,Architecture,Château,Stately home,Manor house,College"
2587,2587,Lund_01911,Landmark,Building,Architecture,Sky,Property,Town,Tree,Estate,Grass,House,Forenom Aparthotel,l0nus MNonskosa, Aug 2017,"Landmark,Building,Architecture,Sky,Property,Town,Tree,Estate,Grass,House"
2588,2588,Lund_02163,Property,House,Building,Home,Architecture,Wall,Roof,Residential area,Estate,Almshouse,,, Sep 2017,"Property,House,Building,Home,Architecture,Wall,Roof,Residential area,Estate,Almshouse"
2589,2589,Lund_01102,Landmark,Building,Architecture,Sky,City,Daytime,Town,Human settlement,Urban area,Facade,The More Hotel Lunc,C) Carlo Pezzoli, Jun 2018,"Landmark,Building,Architecture,Sky,City,Daytime,Town,Human settlement,Urban area,Facade"
2590,2590,Lund_02473,Public space,Recreation,Playground,Grass,Park,House,Outdoor play equipment,Landscape,Play,Leisure,Rostréttsgatan lekpl:,L) Leka Lekplats, Jul 2017,"Public space,Recreation,Playground,Grass,Park,House,Outdoor play equipment,Landscape,Play,Leisure"
2591,2591,Lund_02867,Spire,Steeple,Landmark,Church,Building,Architecture,Sky,Place of worship,Tower,Tree,Allhelgonakyrkan,:}.h Jorge Gavilanes, Sep 2017,"Spire,Steeple,Landmark,Church,Building,Architecture,Sky,Place of worship,Tower,Tree"
2592,2592,Lund_02138,Medieval architecture,Building,Architecture,Landmark,Place of worship,Church,Classical architecture,Steeple,Cathedral,Facade,Lund Cathedral,ManuTim Schiot,,"Medieval architecture,Building,Architecture,Landmark,Place of worship,Church,Classical architecture,Steeple,Cathedral,Facade"
2593,2593,Lund_00995,Property,Estate,House,Natural landscape,Château,Building,Manor house,Mansion,Tree,Botany,Botanical Garden,S  Sheila Sang, Aug 2018,"Property,Estate,House,Natural landscape,Château,Building,Manor house,Mansion,Tree,Botany"
2594,2594,Lund_00018,Landmark,Estate,Building,Mansion,Architecture,Palace,Sky,Stately home,Classical architecture,House,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017,"Landmark,Estate,Building,Mansion,Architecture,Palace,Sky,Stately home,Classical architecture,House"
2595,2595,Lund_01435,Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree,Lundagérd,A) Arulselvi Selvaraj, Oct 2015,"Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree"
2596,2596,Lund_02904,Sky,Blue,Horizon,Cloud,Grass,Grassland,Tree,Land lot,Urban area,Rural area,Klosteréingshdjden,Klosteréingshdjden, Aug 2016,"Sky,Blue,Horizon,Cloud,Grass,Grassland,Tree,Land lot,Urban area,Rural area"
2597,2597,Lund_00436,Landmark,Architecture,Building,Tree,Estate,Sky,Château,Stately home,City,Grass,Lundagérd,"C"":} Leszek A Gasien", Jul 2017,"Landmark,Architecture,Building,Tree,Estate,Sky,Château,Stately home,City,Grass"
2598,2598,Lund_03005,Natural landscape,Vegetation,Natural environment,Tree,Nature reserve,Bank,Grass,Rock,Hill,Geological phenomenon,Rinnebick Gorge 2,L 1T T, Oct 2013,"Natural landscape,Vegetation,Natural environment,Tree,Nature reserve,Bank,Grass,Rock,Hill,Geological phenomenon"
2599,2599,Lund_01077,Classical architecture,Building,Architecture,Landmark,Palace,Estate,Mansion,Official residence,Stately home,Facade,Lundagérd,% Onga osborn G, Apr 2016,"Classical architecture,Building,Architecture,Landmark,Palace,Estate,Mansion,Official residence,Stately home,Facade"
2600,2600,Lund_02065,Water,Botanical garden,Botany,Tree,Garden,Fountain,Pond,Reflecting pool,Park,Architecture,Lundagérd,f@ Maricela Christe, Jul 2017,"Water,Botanical garden,Botany,Tree,Garden,Fountain,Pond,Reflecting pool,Park,Architecture"
2601,2601,Lund_00025,Holy places,Building,Chapel,Aisle,Place of worship,Architecture,Church,Basilica,Cathedral,Arch,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017,"Holy places,Building,Chapel,Aisle,Place of worship,Architecture,Church,Basilica,Cathedral,Arch"
2602,2602,Lund_01585,Natural landscape,Body of water,Nature,Water,River,Watercourse,Waterway,Stream,Natural environment,Water resources,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017,"Natural landscape,Body of water,Nature,Water,River,Watercourse,Waterway,Stream,Natural environment,Water resources"
2603,2603,Lund_00377,Estate,Building,Property,Mansion,Landmark,Palace,Stately home,Manor house,Architecture,Château,Lundagérd,L) UIf Zimmermann, Aug 2018,"Estate,Building,Property,Mansion,Landmark,Palace,Stately home,Manor house,Architecture,Château"
2604,2604,Lund_02096,Property,Building,Architecture,House,Estate,Stately home,Brick,Historic house,Almshouse,Home,Gamla Biskopshuset,ﬁ Jonathan Lundbe, May 2018,"Property,Building,Architecture,House,Estate,Stately home,Brick,Historic house,Almshouse,Home"
2605,2605,Lund_01468,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home"
2606,2606,Lund_01563,Nature,Water,Botanical garden,Fountain,Garden,Reflecting pool,Natural landscape,Landmark,Botany,Tree,Fountain,Q Jonas Kirkegaart,,"Nature,Water,Botanical garden,Fountain,Garden,Reflecting pool,Natural landscape,Landmark,Botany,Tree"
2607,2607,Lund_00197,Public space,Town,Plaza,Street light,Town square,Human settlement,City,Light fixture,Tourism,Statue,Lund,@ Margaret Camille, Sep 2017,"Public space,Town,Plaza,Street light,Town square,Human settlement,City,Light fixture,Tourism,Statue"
2608,2608,Lund_00394,Estate,Mansion,Landmark,Building,Property,Architecture,House,Sky,Official residence,Botany,Lundagérd,@ leva Paskauskait, Sep 2015,"Estate,Mansion,Landmark,Building,Property,Architecture,House,Sky,Official residence,Botany"
2609,2609,Lund_02605,Humpback bridge,Water,Tree,Water resources,Rock,Infrastructure,Architecture,Arch,Tunnel,Watercourse,Rinnebick Gorge,Q Daniel Nilsson, Aug 2018,"Humpback bridge,Water,Tree,Water resources,Rock,Infrastructure,Architecture,Arch,Tunnel,Watercourse"
2610,2610,Lund_01438,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Official residence,Mansion,City,Château,Lundagérd 9,@ DLCI@L T, Jul 2017,"Classical architecture,Building,Architecture,Landmark,Palace,Facade,Official residence,Mansion,City,Château"
2611,2611,Lund_02751,Playground,Outdoor play equipment,Public space,Swing,Human settlement,City,Leisure,Tree,Recreation,Park,Per Johan's Park pla,K Karl Wittenmark, Jul 2017,"Playground,Outdoor play equipment,Public space,Swing,Human settlement,City,Leisure,Tree,Recreation,Park"
2612,2612,Lund_01755,Building,Property,Architecture,Town,Estate,House,Facade,Almshouse,Manor house,Home,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007,"Building,Property,Architecture,Town,Estate,House,Facade,Almshouse,Manor house,Home"
2613,2613,Lund_01257,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Tower,Facade,Cathedral,Gothic architecture,Lund Cathedral,Stefan Tscherfing, Jun 2017,"Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Tower,Facade,Cathedral,Gothic architecture"
2614,2614,Lund_01824,Town square,Town,City,Public space,Atmospheric phenomenon,Plaza,Human settlement,Building,Rain,Architecture,Stadshall Lund,&) Bjarne Rosengrel, Apr 2017,"Town square,Town,City,Public space,Atmospheric phenomenon,Plaza,Human settlement,Building,Rain,Architecture"
2615,2615,Lund_02742,Grassland,Field,Pasture,Natural landscape,Sky,Green,Natural environment,Land lot,Plain,Grass,|G AT,|G AT, Feb 2017,"Grassland,Field,Pasture,Natural landscape,Sky,Green,Natural environment,Land lot,Plain,Grass"
2616,2616,Lund_00001,Building,Landmark,Town,Architecture,City,Property,Human settlement,Facade,Mixed-use,Sky,' Maja Rehnberg,' Maja Rehnberg, Sep 2017,"Building,Landmark,Town,Architecture,City,Property,Human settlement,Facade,Mixed-use,Sky"
2617,2617,Lund_00608,Building,Landmark,Mansion,Palace,Estate,Architecture,Official residence,Stately home,House,Presidential palace,Lundagérd ¢,ﬁg‘ Prabin Koirala, Jul 2017,"Building,Landmark,Mansion,Palace,Estate,Architecture,Official residence,Stately home,House,Presidential palace"
2618,2618,Lund_02350,Sport venue,Team sport,Ball game,Player,Grass,Football,Soccer-specific stadium,Sports,Soccer,Competition event,Klostergérdens IP,U  ulf svanstrom, Apr 2018,"Sport venue,Team sport,Ball game,Player,Grass,Football,Soccer-specific stadium,Sports,Soccer,Competition event"
2619,2619,Lund_01868,Landmark,Building,Architecture,Medieval architecture,Town,Classical architecture,Facade,Spire,Roof,Turret,Lund Cathedral,H> Hans Wilhelm He, Jun 2016,"Landmark,Building,Architecture,Medieval architecture,Town,Classical architecture,Facade,Spire,Roof,Turret"
2620,2620,Lund_00048,Brickwork,Brick,Architecture,Wall,Property,Arch,Building,House,Town,Iron,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009,"Brickwork,Brick,Architecture,Wall,Property,Arch,Building,House,Town,Iron"
2621,2621,Lund_00537,Estate,Building,Mansion,Palace,Official residence,Château,Stately home,Architecture,Manor house,House,2015-06-18_12_25_(,L 1T T, Jun 2015,"Estate,Building,Mansion,Palace,Official residence,Château,Stately home,Architecture,Manor house,House"
2622,2622,Lund_02418,Estate,Building,Property,Mansion,Palace,Stately home,Architecture,Château,Sky,House,Lundagérd {,@} BEEOEl ], May 2018,"Estate,Building,Property,Mansion,Palace,Stately home,Architecture,Château,Sky,House"
2623,2623,Lund_00894,Building,Château,Estate,Palace,Mansion,Architecture,Stately home,Castle,Waterway,House,Lundagérd,@%ﬁ Anders Sjostrom, Jun 2018,"Building,Château,Estate,Palace,Mansion,Architecture,Stately home,Castle,Waterway,House"
2624,2624,Lund_02067,Property,Building,Architecture,House,Landmark,Facade,Real estate,Home,Neighbourhood,Tree,Lundagérd,é’h [T r VT,,"Property,Building,Architecture,House,Landmark,Facade,Real estate,Home,Neighbourhood,Tree"
2625,2625,Lund_00333,Landmark,Building,Medieval architecture,Castle,Property,Architecture,Estate,Stately home,Château,Mansion,Lundagérd,RV O A,,"Landmark,Building,Medieval architecture,Castle,Property,Architecture,Estate,Stately home,Château,Mansion"
2626,2626,Lund_02134,Wall,Town,Medieval architecture,Building,Landmark,Property,Sky,Architecture,Brick,House,Dekanhuset,ﬁ BN PN R, Jun 2017,"Wall,Town,Medieval architecture,Building,Landmark,Property,Sky,Architecture,Brick,House"
2627,2627,Lund_02034,Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church,Domkyrkan i véntans,j‘;}) Ingegerd Karlsso, Oct 2016,"Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church"
2628,2628,Lund_02183,Natural landscape,Vegetation,Nature reserve,Pasture,Grassland,Land lot,Natural environment,Grass,Biome,Meadow,Rinnebick Gorge,Rhian Corbett-Co, Jul 2017,"Natural landscape,Vegetation,Nature reserve,Pasture,Grassland,Land lot,Natural environment,Grass,Biome,Meadow"
2629,2629,Lund_02857,Building,Estate,Classical architecture,Landmark,Mansion,Official residence,Palace,Architecture,Presidential palace,Stately home,Lundagérd,Ibrahim Akkash, Sep 2016,"Building,Estate,Classical architecture,Landmark,Mansion,Official residence,Palace,Architecture,Presidential palace,Stately home"
2630,2630,Lund_03117,Natural landscape,Nature,Tree,Vegetation,Natural environment,Nature reserve,Bank,Watercourse,River,Grass,Rinnebick Gorge 2,L 1T T, Oct 2013,"Natural landscape,Nature,Tree,Vegetation,Natural environment,Nature reserve,Bank,Watercourse,River,Grass"
2631,2631,Lund_01208,Building,Estate,Mansion,Palace,Property,Château,Official residence,Stately home,Classical architecture,Manor house,[T T VT,Q chandan gupta, May 2017,"Building,Estate,Mansion,Palace,Property,Château,Official residence,Stately home,Classical architecture,Manor house"
2632,2632,Lund_00853,Garden,Natural landscape,Botanical garden,Lawn,Yard,Plant,Shrub,Groundcover,Flower,Landscaping,Botanic gardens at I,® From a Google U, Jul 2016,"Garden,Natural landscape,Botanical garden,Lawn,Yard,Plant,Shrub,Groundcover,Flower,Landscaping"
2633,2633,Lund_02522,Plain,Land lot,Grassland,Natural environment,Natural landscape,Field,Grass,Pasture,Ecoregion,Prairie,Klosteréingshdjden,S Sara Eriksson, May 2017,"Plain,Land lot,Grassland,Natural environment,Natural landscape,Field,Grass,Pasture,Ecoregion,Prairie"
2634,2634,Lund_00041,Town,City,Building,Human settlement,Transport,Neighbourhood,Architecture,Downtown,Urban area,Street,"‘é"" [N","‘é"" [N", Aug 2018,"Town,City,Building,Human settlement,Transport,Neighbourhood,Architecture,Downtown,Urban area,Street"
2635,2635,Lund_01389,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Church,City,Classical architecture,Cathedral,[T T o1 T 1T,E ) Eve Fox, Aug 2018,"Landmark,Architecture,Building,Sky,Medieval architecture,Town,Church,City,Classical architecture,Cathedral"
2636,2636,Lund_00414,Estate,Building,Property,Mansion,Palace,Landmark,House,Official residence,Château,Stately home,[T T VT,f?‘ SANDHEEP KUM, Jun 2015,"Estate,Building,Property,Mansion,Palace,Landmark,House,Official residence,Château,Stately home"
2637,2637,Lund_00347,Building,Landmark,Architecture,Medieval architecture,Place of worship,Sky,Church,Cathedral,Gothic architecture,Classical architecture,[T 8,. DIl, May 2016,"Building,Landmark,Architecture,Medieval architecture,Place of worship,Sky,Church,Cathedral,Gothic architecture,Classical architecture"
2638,2638,Lund_00154,Marina,Waterway,Dock,Harbor,Port,Sky,Architecture,Infrastructure,City,Vehicle,"‘é"" [N","‘é"" [N", Aug 2018,"Marina,Waterway,Dock,Harbor,Port,Sky,Architecture,Infrastructure,City,Vehicle"
2639,2639,Lund_02289,Natural landscape,Sky,Field,Road,Morning,Rural area,Dirt road,Trail,Grass,Horizon,N[ AT T T,i\ Bengt Jiirs, Jul 2014,"Natural landscape,Sky,Field,Road,Morning,Rural area,Dirt road,Trail,Grass,Horizon"
2640,2640,Lund_02326,Pasture,Grassland,Land lot,Grass,Field,Natural environment,Meadow,Lawn,Plain,Farm,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Pasture,Grassland,Land lot,Grass,Field,Natural environment,Meadow,Lawn,Plain,Farm"
2641,2641,Lund_00175,Building,Architecture,Landmark,Property,Tree,House,Mansion,Church,Estate,Stately home,‘i’) [N,‘i’) [N, Aug 2018,"Building,Architecture,Landmark,Property,Tree,House,Mansion,Church,Estate,Stately home"
2642,2642,Lund_02399,Grassland,Pasture,Grass,Land lot,Natural landscape,Natural environment,Field,Meadow,Lawn,Grass family,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018,"Grassland,Pasture,Grass,Land lot,Natural landscape,Natural environment,Field,Meadow,Lawn,Grass family"
2643,2643,Lund_01447,Snow,Winter,Building,Architecture,Freezing,City,Facade,House,Manor house,Château,University Library,Gianluca Capriol, Jan 2017,"Snow,Winter,Building,Architecture,Freezing,City,Facade,House,Manor house,Château"
2644,2644,Lund_01874,Property,Estate,Building,House,Home,Manor house,Mansion,Real estate,Grass,Almshouse,Kulturen,CamodJan, Aug 2016,"Property,Estate,Building,House,Home,Manor house,Mansion,Real estate,Grass,Almshouse"
2645,2645,Lund_00990,Medieval architecture,Building,Landmark,Town,Church,Architecture,Wall,Steeple,Place of worship,Tree,Lundagérd,"C"":} Leszek A Gasien", Jul 2017,"Medieval architecture,Building,Landmark,Town,Church,Architecture,Wall,Steeple,Place of worship,Tree"
2646,2646,Lund_01281,Building,Medieval architecture,Architecture,Stately home,Estate,Grass,Place of worship,Historic site,Church,Almshouse,7 O CUE,Martin Ingemans, Apr 2018,"Building,Medieval architecture,Architecture,Stately home,Estate,Grass,Place of worship,Historic site,Church,Almshouse"
2647,2647,Lund_03165,House,Property,Residential area,Home,Building,Architecture,Real estate,Roof,Estate,Facade,Klostergérdens IP,M  Minghua Zhang, Jul 2017,"House,Property,Residential area,Home,Building,Architecture,Real estate,Roof,Estate,Facade"
2648,2648,Lund_01303,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015,"Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture"
2649,2649,Lund_01230,Sky,Landmark,Cloud,Architecture,Tree,Town,Church,Mountain,Grass,Building,Lundagérd 8,ﬁ' paul fackler, Apr 2018,"Sky,Landmark,Cloud,Architecture,Tree,Town,Church,Mountain,Grass,Building"
2650,2650,Lund_02307,Natural landscape,Freshwater marsh,Natural environment,Marsh,Nature reserve,Vegetation,Fen,Wetland,Bank,Salt marsh,Nobbelovs mosse,M Maria Tracz, Jul 2017,"Natural landscape,Freshwater marsh,Natural environment,Marsh,Nature reserve,Vegetation,Fen,Wetland,Bank,Salt marsh"
2651,2651,Lund_00848,Landmark,Building,Sky,Architecture,Town,Cathedral,Church,Photography,Place of worship,Facade,Lund Cathedral :,H ' Hauke Salmen, Apr 2017,"Landmark,Building,Sky,Architecture,Town,Cathedral,Church,Photography,Place of worship,Facade"
2652,2652,Lund_00697,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,Official residence,Courthouse,Column,Lundagérd,Q‘* Alexandra Balab:, Jun 2014,"Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,Official residence,Courthouse,Column"
2653,2653,Lund_00398,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014,"Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade"
2654,2654,Lund_00019,Tree,Garden,Natural landscape,Grass,Lawn,Botanical garden,Park,Botany,Estate,Plant,@ Mohammad Wat,@ Mohammad Wat, Oct 2017,"Tree,Garden,Natural landscape,Grass,Lawn,Botanical garden,Park,Botany,Estate,Plant"
2655,2655,Lund_02178,Flower,Landmark,Garden,Spring,Château,Tulip,Palace,Plant,Botany,Estate,Lundagérd,% Mohammad A.M,,"Flower,Landmark,Garden,Spring,Château,Tulip,Palace,Plant,Botany,Estate"
2656,2656,Lund_02428,Property,Home,House,Residential area,Building,Real estate,Neighbourhood,Roof,Architecture,Suburb,Pysslingen Forskola,‘;G\ DIIEY T, Jun 2017,"Property,Home,House,Residential area,Building,Real estate,Neighbourhood,Roof,Architecture,Suburb"
